id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
747,TCMT08,TCMT-36756,24,37,,51C-36756,2014,2014,,,16,16,1000,17,1000,,,
748,TCMT09,TCMT -04306,24,37,,72C -04306,2014,2014,,,16,16,1000,17,1000,,,
749,TCIT01,TCIT111,23,35,,,,,,,12,12,1000,3,1000,,,
750,TCIT02,TCIT112,23,35,,,,,,,12,12,1000,3,1000,,,
751,TCIT03,TCIT113,23,35,,,,,,,12,12,1000,3,1000,,,
752,TCIT04,TCIT114,23,35,,,,,,,12,12,1000,3,1000,,,
753,TCIT05,TCIT115,23,35,,,,,,,12,12,1000,3,1000,,,
754,TCIT06,TCIT116,23,35,,,,,,,12,12,1000,3,1000,,,
755,TCIT07,TCIT117,23,35,,,,,,,12,12,1000,3,1000,,,
756,TCIT08,TCIT118,23,35,,,,,,,12,12,1000,3,1000,,,
757,TCIT09,TCIT119,23,35,,,,,,,12,12,1000,3,1000,,,
758,TCIT10,TCIT120,23,35,,,,,,,12,12,1000,3,1000,,,
759,TCIT11,TCIT121,23,35,,,,,,,12,12,1000,3,1000,,,
760,TCIT12,TCIT122,23,35,,,,,,,12,12,1000,3,1000,,,
761,TCIT13,TCIT123,23,35,,,,,,,12,12,1000,3,1000,,,
762,TCIT14,TCIT124,23,35,,,,,,,12,12,1000,3,1000,,,
763,TCIT15,TCIT125,23,35,,,,,,,12,12,1000,3,1000,,,
764,TCIT16,TCIT126,23,35,,,,,,,12,12,1000,3,1000,,,
765,TCIT17,TCIT127,23,35,,,,,,,12,12,1000,3,1000,,,
766,TCIT18,TCIT128,23,35,,,,,,,12,12,1000,3,1000,,,
767,TCIT19,TCIT129,23,35,,,,,,,12,12,1000,3,1000,,,
768,TCIT20,TCIT130,23,35,,,,,,,12,12,1000,3,1000,,,
769,TCIT21,TCIT101,23,7,,,,,,,12,12,1000,3,1000,,,
770,TCIT22,TCIT102,23,7,,,,,,,12,12,1000,3,1000,,,
771,TCIT23,TCIT103,23,7,,,,,,,12,12,1000,3,1000,,,
772,TCIT24,TCIT104,23,7,,,,,,,12,12,1000,3,1000,,,
773,TCIT25,TCIT105,23,7,,,,,,,12,12,1000,3,1000,,,
774,TCIT26,TCIT106,23,7,,,,,,,12,12,1000,3,1000,,,
775,TCIT27,TCIT107,23,7,,,,,,,12,12,1000,3,1000,,,
776,TCIT28,TCIT108,23,7,,,,,,,12,12,1000,3,1000,,,
777,TCIT29,TCIT109,23,7,,,,,,,12,12,1000,3,1000,,,
778,TCIT30,TCIT110,23,7,,,,,,,12,12,1000,3,1000,,,
779,CPCL11,CPCL11,24,25,51C-242.50,88432,2013,2013,KMEFC18CPDC071177,D6ACD242747,4,4,1000,1,1000,,,
780,CPCL12,CPCL12,24,25,51C-240.07,88421,2013,2013,KMEFC18CPDC071175,D6ACD242574,4,4,1000,1,1000,,,
781,CPCL13,CPCL13,24,25,51C-243.30,88434,2012,2012,KMEFC18CPCC069118,D6ACC233601,4,4,1000,1,1000,,,
